app_name,review_text,rating,date,thumbs_up,cleaned_text,processed_text,vader_compound,vader_positive,vader_negative,vader_neutral,textblob_polarity,textblob_subjectivity,ensemble_score,sentiment_label
Slack,Great app for team collaboration! Very intuitive and easy to use.,5,2024-06-01,98,great app for team collaboration! very intuitive and easy to use.,great app team collaboration very intuitive easy use,0.8203,0.456,0.0,0.544,0.5444444444444444,0.6277777777777778,0.6823722222222222,positive
Slack,Love the integrations with other tools. Makes work so much easier.,5,2024-06-02,44,love the integrations with other tools. makes work so much easier.,love integration tool make work much easier,0.8062,0.447,0.0,0.553,0.19166666666666665,0.39166666666666666,0.49893333333333334,positive
Slack,The mobile app keeps crashing. Very frustrating experience.,2,2024-06-03,65,the mobile app keeps crashing. very frustrating experience.,mobile app keep crashing very frustrating experience,-0.4927,0.0,0.313,0.687,-0.52,1.0,-0.5063500000000001,negative
Slack,Best communication tool we've ever used. Highly recommend!,5,2024-06-04,49,best communication tool weve ever used. highly recommend!,best communication tool weve ever used highly recommend,0.8066,0.548,0.0,0.452,0.6,0.42000000000000004,0.7033,positive
Slack,Too expensive for small teams. Pricing needs to be reconsidered.,2,2024-06-05,57,too expensive for small teams. pricing needs to be reconsidered.,too expensive small team pricing need reconsidered,0.0,0.0,0.0,1.0,-0.375,0.55,-0.1875,negative
Slack,Interface is clean and modern. Performance is excellent.,5,2024-06-06,46,interface is clean and modern. performance is excellent.,interface clean modern performance excellent,0.7506,0.516,0.0,0.484,0.5222222222222223,0.6666666666666666,0.6364111111111111,positive
Slack,Notifications are overwhelming and can't be customized properly.,3,2024-06-07,14,notifications are overwhelming and cant be customized properly.,notification overwhelming cant customized properly,0.0,0.0,0.0,1.0,0.25,0.55,0.125,positive
Slack,Excellent for remote work. Video calls work smoothly.,4,2024-06-08,23,excellent for remote work. video calls work smoothly.,excellent remote work video call work smoothly,0.5719,0.346,0.0,0.654,0.43333333333333335,0.5666666666666667,0.5026166666666667,positive
Slack,The search function is amazing. Finds everything instantly.,5,2024-06-09,71,the search function is amazing. finds everything instantly.,search function amazing find everything instantly,0.5859,0.352,0.0,0.648,0.30000000000000004,0.7833333333333333,0.44295,positive
Slack,Customer support is slow to respond to issues.,2,2024-06-10,88,customer support is slow to respond to issues.,customer support slow respond issue,0.4019,0.278,0.0,0.722,-0.30000000000000004,0.39999999999999997,0.05094999999999997,positive
Slack,Seamless integration with Google Drive and other apps.,5,2024-06-11,98,seamless integration with google drive and other apps.,seamless integration google drive apps,0.0,0.0,0.0,1.0,-0.012499999999999997,0.2375,-0.006249999999999999,neutral
Slack,App is buggy after the latest update. Many crashes.,1,2024-06-12,51,app is buggy after the latest update. many crashes.,app buggy latest update many crash,0.0,0.0,0.0,1.0,0.5,0.7,0.25,positive
Slack,Perfect for organizing team conversations and files.,5,2024-06-13,63,perfect for organizing team conversations and files.,perfect organizing team conversation file,0.5719,0.381,0.0,0.619,1.0,1.0,0.7859499999999999,positive
Slack,Slow performance on older devices. Needs optimization.,2,2024-06-14,40,slow performance on older devices. needs optimization.,slow performance older device need optimization,0.3818,0.302,0.0,0.698,-0.0666666666666667,0.36666666666666664,0.15756666666666663,positive
Slack,Great features but the learning curve is steep for new users.,3,2024-06-15,10,great features but the learning curve is steep for new users.,great feature but learning curve steep new user,0.3716,0.203,0.0,0.797,0.4681818181818182,0.6022727272727273,0.4198909090909091,positive
Slack,Best collaboration tool. Can't imagine work without it now.,5,2024-06-16,7,best collaboration tool. cant imagine work without it now.,best collaboration tool cant imagine work without,0.6369,0.344,0.0,0.656,1.0,0.3,0.81845,positive
Slack,Too many notifications disrupting my workflow constantly.,2,2024-06-17,3,too many notifications disrupting my workflow constantly.,too many notification disrupting workflow constantly,0.0,0.0,0.0,1.0,0.25,0.41666666666666663,0.125,positive
Slack,Reliable and fast. No issues so far after 6 months of use.,4,2024-06-18,96,reliable and fast. no issues so far after 6 months of use.,reliable fast issue far month use,-0.296,0.0,0.167,0.833,0.15000000000000002,0.8,-0.07299999999999998,negative
Slack,Mobile app needs improvement. Desktop version is much better.,3,2024-06-19,39,mobile app needs improvement. desktop version is much better.,mobile app need improvement desktop version much better,0.7096,0.457,0.0,0.543,0.5,0.5,0.6048,positive
Slack,Excellent app with great customer support and regular updates.,5,2024-06-20,74,excellent app with great customer support and regular updates.,excellent app great customer support regular update,0.8885,0.636,0.0,0.364,0.6,0.6089743589743589,0.74425,positive
Microsoft Teams,Teams is perfect for Microsoft ecosystem integration.,5,2024-06-21,4,teams is perfect for microsoft ecosystem integration.,team perfect microsoft ecosystem integration,0.5719,0.381,0.0,0.619,1.0,1.0,0.7859499999999999,positive
Microsoft Teams,Video quality is better than competitors. Very clear.,5,2024-06-22,2,video quality is better than competitors. very clear.,video quality better competitor very clear,0.6997,0.491,0.0,0.509,0.315,0.49916666666666665,0.50735,positive
Microsoft Teams,Interface is confusing and cluttered. Hard to navigate.,2,2024-06-23,42,interface is confusing and cluttered. hard to navigate.,interface confusing cluttered hard navigate,-0.3182,0.0,0.355,0.645,-0.29583333333333334,0.4708333333333333,-0.30701666666666666,negative
Microsoft Teams,Great for enterprise use. Security features are excellent.,5,2024-06-24,1,great for enterprise use. security features are excellent.,great enterprise use security feature excellent,0.8807,0.671,0.0,0.329,0.9,0.875,0.89035,positive
Microsoft Teams,Too resource-heavy. Slows down my computer significantly.,2,2024-06-25,32,too resourceheavy. slows down my computer significantly.,too resourceheavy slows computer significantly,0.0,0.0,0.0,1.0,0.10972222222222222,0.5819444444444445,0.05486111111111111,positive
